# NJOY2016 0 K U-235 ESZ at grid energies this port also chose.
# Oracle for tests/acer_ce_esz_vs_njoy2016.rs. Columns are MeV and barns.
# 17 significant digits: f64 needs that to round-trip exactly, and the test
# matches grid energies by EXACT equality.
energy_mev,total_b,absorption_b,elastic_b
4.40413999999999975e-4,1.53531684000000013e2,3.00850220999999998e1,1.30218600000000002e1
4.42885699999999980e-4,2.39114660000000008e1,4.02227905999999980e0,1.43411100000000005e1
4.45370099999999980e-4,2.76153909999999989e1,4.48205906000000009e0,1.10750499999999992e1
4.47626099999999993e-4,3.55557400000000001e1,1.61395820999999984e1,9.43548499999999990e0
4.48704300000000013e-4,1.82346883999999989e2,7.09215721000000059e1,2.06184900000000013e1
4.51202200000000008e-4,1.71080749999999995e1,1.51655205000000004e0,1.18102900000000002e1
4.52226000000000017e-4,1.45870488999999992e1,4.86690043000000017e-1,1.02401199999999992e1
4.52632000000000013e-4,1.56298674999999996e1,6.03319641999999989e-1,9.86100500000000046e0
4.56988999999999985e-4,1.75108968999999988e1,5.40878002999999996e0,9.82836400000000054e0
4.57436400000000003e-4,1.74290988999999996e1,4.39023702999999976e0,9.46190600000000082e0
4.59597899999999993e-4,1.00371663999999996e2,2.94264919999999996e1,1.25857600000000005e1
4.61866099999999993e-4,4.70382633999999996e2,2.29384602000000001e2,7.85198299999999989e1
4.64311100000000000e-4,6.14153439000000034e1,1.49041619999999995e1,1.81383000000000010e1
4.66446900000000008e-4,5.50852558999999999e1,9.29616401000000003e0,1.08843200000000007e1
4.66696899999999987e-4,2.04462289000000013e1,3.00506501000000004e0,1.22314699999999998e1
4.70361100000000012e-4,3.33573008999999985e1,6.00508899999999990e0,1.16148699999999998e1
4.70844299999999987e-4,1.29033089000000007e1,1.55862499999999993e0,9.74436200000000063e0
4.71367299999999982e-4,2.42858029000000002e1,2.92115299999999989e0,8.22833800000000082e0
4.72306900000000010e-4,2.50790268999999988e1,4.39617199999999997e0,1.38924000000000003e1
4.75183800000000009e-4,5.77195238999999987e1,2.76900520000000014e1,1.06338500000000007e1
4.76684599999999993e-4,2.24966014000000001e2,1.55680501999999990e2,2.40536899999999996e1
4.77312900000000009e-4,8.24813639000000052e1,2.51560419999999993e1,1.18290400000000009e1
4.77882700000000025e-4,1.47426309000000000e1,1.34012499000000007e0,1.00347899999999992e1
4.81307599999999979e-4,1.84324844000000013e2,2.80097519999999989e1,2.10181900000000006e1
4.82039800000000026e-4,1.30369923999999997e2,5.79866620000000026e1,1.41242900000000002e1
4.84400399999999984e-4,4.95490738000000022e1,1.08946020000000008e1,1.12908399999999993e1
4.87180999999999996e-4,6.23512137999999965e1,1.11940819999999999e1,1.23921299999999999e1
4.88977199999999991e-4,2.78021227999999994e1,5.77816796000000021e0,8.74354300000000073e0
4.89643000000000001e-4,5.05283057999999983e1,4.14001396000000010e0,1.14164200000000005e1
4.94659600000000037e-4,7.68156038000000052e1,3.10390519000000005e1,1.37277000000000005e1
