step,x1,y1,z1,vx1,vy1,vz1,omegax1,omegay1,omegaz1,x2,y2,z2,vx2,vy2,vz2,omegax2,omegay2,omegaz2
1060,-0.0049400825331204689,0.00052995929336376469,0,0.99374828603400456,0.49682391227766104,0,0,0,-1.9002729472456885,0.0049400825331204689,-0.00052995929336376469,0,-0.99374828603400456,-0.49682391227766104,0,0,0,-1.9002729472456885
1070,-0.0049301617474386272,0.00053491853801493458,0,0.9902698613124209,0.49494351935668507,0,0,0,-3.0134687271469378,0.0049301617474386272,-0.00053491853801493458,0,-0.9902698613124209,-0.49494351935668507,0,0,0,-3.0134687271469378
1080,-0.0049202799425378009,0.00053985652286973689,0,0.98594112173782777,0.49256612368800429,0,0,0,-4.4170035508586487,0.0049202799425378009,-0.00053985652286973689,0,-0.98594112173782777,-0.49256612368800429,0,0,0,-4.4170035508586487
1090,-0.0049104454487928651,0.00054477254165244263,0,0.98080669193914305,0.49062659620118337,0,0,0,-5.6488309189692636,0.0049104454487928651,-0.00054477254165244263,0,-0.98080669193914305,-0.49062659620118337,0,0,0,-5.6488309189692636
1100,-0.0049006669233747826,0.00054966793200160295,0,0.97473357922287018,0.48839224795614655,0,0,0,-7.0772474064641679,0.0049006669233747826,-0.00054966793200160295,0,-0.97473357922287018,-0.48839224795614655,0,0,0,-7.0772474064641679
1110,-0.0048909540560004841,0.00055453921212836332,0,0.96766707128363827,0.48580206719800817,0,0,0,-8.7355073712232407,0.0048909540560004841,-0.00055453921212836332,0,-0.96766707128363827,-0.48580206719800817,0,0,0,-8.7355073712232407
1120,-0.0048813170078179811,0.00055938275400958955,0,0.95956259453770187,0.48284245922609065,0,0,0,-10.633012490587641,0.0048813170078179811,-0.00055938275400958955,0,-0.95956259453770187,-0.48284245922609065,0,0,0,-10.633012490587641
1130,-0.0048717663604735091,0.00056419480368263386,0,0.95038060113137635,0.47950181710901907,0,0,0,-12.777938094319916,0.0048717663604735091,-0.00056419480368263386,0,-0.95038060113137635,-0.47950181710901907,0,0,0,-12.777938094319916
1140,-0.0048623130664486773,0.00056897150073676719,0,0.94008645494106602,0.47577044627234938,0,0,0,-15.17727413696511,0.0048623130664486773,-0.00056897150073676719,0,-0.94008645494106602,-0.47577044627234938,0,0,0,-15.17727413696511
1150,-0.0048529684003935968,0.00057370889710447483,0,0.92865034614562469,0.47164049977914646,0,0,0,-17.836859234300299,0.0048529684003935968,-0.00057370889710447483,0,-0.92865034614562469,-0.47164049977914646,0,0,0,-17.836859234300299
1160,-0.0048437439111858232,0.00057840297525337111,0,0.91604723055313364,0.46710592282185692,0,0,0,-20.761408682819098,0.0048437439111858232,-0.00057840297525337111,0,-0.91604723055313364,-0.46710592282185692,0,0,0,-20.761408682819098
1170,-0.0048346513744967692,0.00058304966586000633,0,0.90225678773749785,0.46216240422884858,0,0,0,-23.954537854393344,0.0048346513744967692,-0.00058304966586000633,0,-0.90225678773749785,-0.46216240422884858,0,0,0,-23.954537854393344
1180,-0.0048257027457076001,0.00058764486502486414,0,0.88726339204104487,0.4568073328559713,0,0,0,-27.41878233200493,0.0048257027457076001,-0.00058764486502486414,0,-0.88726339204104487,-0.4568073328559713,0,0,0,-27.41878233200493
1190,-0.0048169101130731079,0.0005921844510679324,0,0.87105609113737792,0.45103975702564392,0,0,0,-31.155615980550976,0.0048169101130731079,-0.0005921844510679324,0,-0.87105609113737792,-0.45103975702564392,0,0,0,-31.155615980550976
1200,-0.0048082856510813388,0.00059666430092750146,0,0.85362858761001137,0.44486034550296721,0,0,0,-35.165467950487624,0.0048082856510813388,-0.00059666430092750146,0,-0.85362858761001137,-0.44486034550296721,0,0,0,-35.165467950487624
1210,-0.0047998415739985275,0.0006010803061712685,0,0.83497921971770162,0.43827134879859619,0,0,0,-39.44773943094637,0.0047998415739985275,-0.0006010803061712685,0,-0.83497921971770162,-0.43827134879859619,0,0,0,-39.44773943094637
1220,-0.0047915900896239776,0.00060542838861805546,0,0.81511093814182867,0.43127655984610086,0,0,0,-44.000820813008055,0.0047915900896239776,-0.00060542838861805546,0,-0.81511093814182867,-0.43127655984610086,0,0,0,-44.000820813008055
1230,-0.0047835433533088521,0.00060970451556003604,0,0.79403127604378476,0.42388127331779796,0,0,0,-48.822109792869981,0.0047835433533088521,-0.00060970451556003604,0,-0.79403127604378476,-0.42388127331779796,0,0,0,-48.822109792869981
1240,-0.0047757134666877206,0.00061390436871853798,0,0.77172664492575005,0.41589229505049657,0,0,0,-54.005120705920028,0.0047757134666877206,-0.00061390436871853798,0,-0.77172664492575005,-0.41589229505049657,0,0,0,-54.005120705920028
1250,-0.0047681128490759134,0.00061802012449443076,0,0.74819981081206677,0.40721298013709867,0,0,0,-59.596001687295924,0.0047681128490759134,-0.00061802012449443076,0,-0.74819981081206677,-0.40721298013709867,0,0,0,-59.596001687295924
1260,-0.0047607532491627837,0.00062204782705152267,0,0.72352808493774046,0.39829098892012904,0,0,0,-65.376580733990409,0.0047607532491627837,-0.00062204782705152267,0,-0.72352808493774046,-0.39829098892012904,0,0,0,-65.376580733990409
1270,-0.0047536459615205775,0.00062598533038548895,0,0.69774314359783807,0.3891830878524225,0,0,0,-71.318441386885937,0.0047536459615205775,-0.00062598533038548895,0,-0.69774314359783807,-0.3891830878524225,0,0,0,-71.318441386885937
1280,-0.0047468019404613183,0.00062983107344824626,0,0.67088133656218463,0.379949419287755,0,0,0,-77.391344688431602,0.0047468019404613183,-0.00062983107344824626,0,-0.67088133656218463,-0.379949419287755,0,0,0,-77.391344688431602
1290,-0.0047402317541034439,0.00063358411142416305,0,0.64298352296304229,0.37065299907695798,0,0,0,-83.563473996475039,0.0047402317541034439,-0.00063358411142416305,0,-0.64298352296304229,-0.37065299907695798,0,0,0,-83.563473996475039
1300,-0.0047339455401920107,0.00063724414181717424,0,0.61409488474135099,0.36135918187699134,0,0,0,-89.801694472460312,0.0047339455401920107,-0.00063724414181717424,0,-0.61409488474135099,-0.36135918187699134,0,0,0,-89.801694472460312
1310,-0.0047279529638948803,0.00064081152504817727,0,0.58426471811560254,0.35213509871699628,0,0,0,-96.071825128199777,0.0047279529638948803,-0.00064081152504817727,0,-0.58426471811560254,-0.35213509871699628,0,0,0,-96.071825128199777
1320,-0.0047222631777909122,0.00064428729931019122,0,0.55354620387138354,0.34304907188564532,0,0,0,-102.33892109233068,0.0047222631777909122,-0.00064428729931019122,0,-0.55354620387138354,-0.34304907188564532,0,0,0,-102.33892109233068
